name,map_title,area,tip,lat,lng,google_maps_link
Cheongeoram Mangwon,Lost in Mangwon-Dong,"97 Mangwon-ro, Mapo-gu, Seoul, South Korea",Gopchang jeongol (beef tripe hot pot) made for soju—save room for the fried rice finish.,37.5581268,126.9075123,https://maps.google.com/?cid=16475224882691896791&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Akiwawa,Busan with friends,"5-12 Namcheon-dong, Suyeong-gu, Busan, South Korea","Vintage cafe with high-end speakers—come for coffee, stay for the music and the space.",35.1460824,129.1142628,https://maps.google.com/?cid=3043979775614042554&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
PP Coffee,Lost in Mangwon-Dong,"23 Donggyo-ro, Mapo-gu, Seoul, South Korea","Cloth-filter coffee with a fuller, creamier body—the owner even farms his own beans.",37.5522173,126.9050275,https://maps.google.com/?cid=7740504355660271571&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
CAFE SINOLA YEONHUI,Yeonhui-dong,"7-15 Yeonhui-ro 16-gil, Seodaemun-gu, Seoul, South Korea",Brunch favorite that turns into a popular cafe—the newest branch of a loved local chain.,37.5683722,126.9326045,
Burnt Seoul,Mimyo’s Everyday Euljiro,"Jongno District, Cheonggyecheon-ro, 155, Seoul, South Korea","Spacious cafe-bakery near Cheonggyecheon—known for pretzels, but get the honey granola ice cream.",37.5688105,126.994908,https://www.google.com/maps/search/?api=1&query=%EB%B2%88%ED%8A%B8%EC%84%9C%EC%9A%B8%20Jongno%20%2F%20Cheonggyecheon
Mangwon Market,Lost in Mangwon-Dong,"27 Poeun-ro 6-gil, Mapo-gu, Seoul, South Korea","Market with something for everyone—traditional food, trendy snacks, and a drink as you wander.",37.5559018,126.9062854,https://maps.google.com/?cid=17784676563566721318&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
29cm home,Inspiration seongsu,"315-10 Seongsu-dong 2(i)-ga, Seongdong-gu, Seoul, South Korea",Curated home store of contemporary Korean lifestyle brands—how modern Seoul lives.,37.5425599,127.0557579,https://maps.google.com/?cid=13259399922311660843&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Miu,Korean BBQ - Only #1,"113-22 Apgujeong-ro, Apgujeong-dong, Gangnam District, Seoul, South Korea",Best non-self-grill beef BBQ in Korea—butcher-family sourcing; try anchang and ansim.,37.5247016,127.0196296,https://maps.app.goo.gl/1LVZM7iMm7TQZq4i8?g_st=ic
Cheongwaok,Mimyo’s Everyday Euljiro,"Jung District, Eulji-ro, 110, Seoul, South Korea","Clean, approachable spot to try sundae-guk with soju—start with the sundae set if unsure.",37.565982,126.9900341,https://www.google.com/maps/search/?api=1&query=%EC%B2%AD%EC%99%80%EC%98%A5%20Euljiro
Seoul Gypsy Fermenteria Seochon,Mimyo’s Everyday Euljiro,"62 Jahamun-ro, Jongno District, Seoul, South Korea",Fermentation-themed Seochon bar with top Korean craft beer—start with the Mission Helles.,37.5816382,126.9711341,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%EC%A7%91%EC%8B%9C%20%ED%8D%BC%EB%A9%98%ED%85%8C%EB%A6%AC%EC%95%84%20%EC%84%9C%EC%B4%8C%20Seochon
IDA Seoul,Mimyo’s Everyday Euljiro,"153 Seosulla-gil, Gwonnong-dong, Jongno District, Seoul, South Korea",Polished contemporary Korean dining at fair prices on Seosulla-gil—nice outdoor seats.,37.5769881,126.9917047,https://www.google.com/maps/place/IDA+Seoul/data=!3m2!1e3!4b1!4m6!3m5!1s0x357ca36fe49fd6b9:0x8a432cdb2abcaabf!8m2!3d37.5769881!4d126.9917047!16s%2Fg%2F11h6v3crp3?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D
Live Octopus,Gwangjang Market Essentials,"88 Cheonggyecheon-ro, Jongno District, Seoul, South Korea",For the adventurous—freshly chopped live octopus and octopus-topped beef tartare.,37.5700398,126.9996036,
Banul Story,Yeonhui-dong,"15 Yeonhui-ro 11ga-gil, Seodaemun-gu, Seoul, South Korea",Cozy yarn shop with an amazing selection and a warm community vibe.,37.5674403,126.9290661,
Born and Bred,Korean BBQ - Only #1,"1 Majang-ro 42-gil, Seongdong-gu, Seoul, South Korea","Best beef omakase, right in Majang meat market—the high-end hanwoo experience.",37.5667249,127.0445221,https://maps.google.com/?cid=8446753105285414404&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Ppau,Mimyo’s Everyday Euljiro,"157 Eulji-ro, Jung District, Seoul, South Korea","Donut shop in Sewoon Sangga—crisp-outside, soft-inside Ppau donuts, freshly fried.",37.5672051,126.9955916,https://www.google.com/maps/search/?api=1&query=%EB%B9%A0%EC%9A%B0%20%EC%9D%84%EC%A7%80%EB%A1%9C%EC%A0%90%20Euljiro
moeul,Lost in Mangwon-Dong,"Mapo-gu, World Cup-ro 19-gil, 71, Seoul, South Korea","Cozy cafe covered in visitors' handwritten notes—work downstairs, relax on the third floor.",37.5543262,126.9071799,https://maps.google.com/?cid=7677979667882729729&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Ramen Borudo,Mimyo’s Everyday Euljiro,"123-8 Seosulla-gil, Jongno District, Seoul, South Korea",Rich tonkotsu ramen near the palaces—thick broth and generous toppings.,37.5755976,126.9911285,https://www.google.com/maps/search/?api=1&query=%EB%9D%BC%EB%A9%98%20%EB%B3%B4%EB%A3%A8%EB%8F%84%20Seosulla-gil
Bongsanjip,Korean BBQ - Only #1,"Yongsan District, Yongsan-dong 3(sam)-ga, Seoul, South Korea","Top brisket (chadolbagi) BBQ—just-right thickness, dip in the sauce, finish with fried rice.",37.534407,126.974929,https://maps.google.com/?cid=11582916550784481855&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Fresh Fruit Juice Stalls,Gwangjang Market Essentials,"88 Cheonggyecheon-ro, Jongno District, Seoul, South Korea",Follow the colorful fruit stacks—Gwangjang's juice stalls are an open secret.,37.5700398,126.9996036,
Bottle Lounge,Yeonhui-dong,"26 Hongyeon-gil, Seodaemun-gu, Seoul, South Korea","All-vegan desserts that taste like the real thing, plus eco-friendly goods to browse.",37.5751488,126.9284689,
Quarter,Lost in Mangwon-Dong,"43-1 Poeun-ro, Mapo-gu, Seoul, South Korea","Listening cafe by jazz drummer Jung Maru—vinyl, great sound, admission includes a drink.",37.5529611,126.9071414,https://maps.google.com/?cid=9211471805597064811&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Repertory,Inspiration seongsu,"315-56 Seongsu-dong 2(i)-ga, Seongdong-gu, Seoul, South Korea",Leather brand focused on craftsmanship—for products that age beautifully.,37.5427587,127.055043,https://maps.google.com/?cid=955105521803782571&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Gohyangjib,Lost in Mangwon-Dong,"414-67 Mangwon-dong, Mapo-gu, Seoul, South Korea","Cheap Korean meals inside Mangwon Market—kalguksu and sujebi around 5,000 won.",37.5568156,126.9058274,https://maps.google.com/?cid=17782890962100634513&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Daeseongseong,Mimyo’s Everyday Euljiro,"Jongno District, Yulgok-ro 10-gil, 25-3, Seoul, South Korea","Casual Vietnamese on Seosulla-gil—banh xeo and nurungji highball, best with a group.",37.5764117,126.9912144,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EC%84%B1%EC%84%B1%20%EC%84%9C%EC%88%9C%EB%9D%BC%EA%B8%B8%20Seosulla-gil
Ramen Borudo,Noodle Goodness,"123-8 Seosulla-gil, Jongno District, Seoul, South Korea","Thick, porky tonkotsu—#1 in Seoul.",37.5755976,126.9911285,https://maps.app.goo.gl/BWaPCFgVsjVTXFPe7?g_st=ic
index,Inspiration seongsu,"200 Achasan-ro, Gwangjin District, Seoul, South Korea",,37.5411513,127.0659498,https://maps.google.com/?cid=12495250399016584720&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Heewa Bake Shop,Busan with friends,"Jeonpo-daero 246beon-gil, 6, Busan, South Korea",Destination Busan bakery famous for red bean bread—honest ingredients over sweetness.,35.1583925,129.0657971,https://maps.google.com/?cid=15862543762218146004&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Gwangjang Market,Mimyo’s Everyday Euljiro,"88 Cheonggyecheon-ro, Jongno District, Seoul, South Korea","Seoul's classic market—bindaetteok, yukhoe, mayak gimbap, and full-volume market energy.",37.5700398,126.9996036,https://www.google.com/maps/search/?api=1&query=%EA%B4%91%EC%9E%A5%EC%8B%9C%EC%9E%A5%20Jongno%20%2F%20Gwangjang%20Market
Post No Bills,Lost in Mangwon-Dong,"397-14 Mangwon-dong, Mapo-gu, Seoul, South Korea",Vintage-modern cafe with big windows for Mangwon street-watching—terrace on sunny days.,37.5535966,126.9033992,https://maps.google.com/?cid=4422154263006639393&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Busanyanggobchang,Korean BBQ - Only #1,"29 Mokdongjungangnam-ro 11-gil, Yangcheon District, Seoul, South Korea","Classic beef intestines BBQ—order yang and daechang two-to-one, finish with fried rice.",37.5391107,126.8642229,https://maps.google.com/?cid=10342933884285782652&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
207-2,Mimyo’s Everyday Euljiro,"207-2 Sallim-dong, Jung District, Seoul, South Korea",Popular outdoor samgyeopsal near Sewoon Sangga—arrive at opening; great street mood.,37.5675231,126.9954275,"https://www.google.com/maps/place/207-2+Sallim-dong,+Jung+District,+Seoul/data=!3m2!1e3!4b1!4m6!3m5!1s0x357ca2e04b5d8f3f:0x57ac1199514c44ec!8m2!3d37.5675231!4d126.9954275!16s%2Fg%2F11bzk5t_8k?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D"
Starbucks Gwangjang Market,Gwangjang Market Essentials,"88 Changgyeonggung-ro, Jongno District, Seoul, South Korea",A Starbucks with a view—window seats overlooking Gwangjang Market's rooftops and lanes.,37.5701411,127.000428,https://maps.google.com/?cid=3913981661560645047&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Chaegbar,Lost in Mangwon-Dong,"301ho, 90 Poeun-ro, Mapo-gu, Seoul, South Korea",Book bar with separate zones for reading and conversation—good solo or with friends.,37.5550858,126.9052635,https://maps.google.com/?cid=16348061961155529893&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Katatsumuri Udon,Noodle Goodness,"72 Myongjidae-gil, Seodaemun-gu, Seoul, South Korea","Hole-in-the-wall udon with carefully made, great-texture noodles—#1 in Korea.",37.5831877,126.9234127,https://maps.app.goo.gl/86U13dBeMACXs6KA8?g_st=ic
KIRSH & Fruit of the Loom,Gwangjang Market Essentials,"88 Changgyeonggung-ro, Jongno District, Seoul, South Korea","Easy intro to contemporary Korean fashion in Gwangjang—apparel, bags, and accessories.",37.5702831,126.9987139,
HBAF Almond Store,Gwangjang Market Essentials,"88 Changgyeonggung-ro, Jongno District, Seoul, South Korea","Korea's flavored almonds, from Honey Butter to Wasabi—an easy souvenir; sample a few.",37.5702831,126.9987139,https://maps.google.com/?cid=368003097064063027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Weekend Cake,Lost in Mangwon-Dong,"69 Mangwon-ro 2-gil, Mapo-gu, Seoul, South Korea","Best lettering cakes—cream cheese sheet instead of whipped cream, adorable and not too sweet.",37.5541169,126.9029447,https://maps.google.com/?cid=4854064276462147832&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Seusisora Euljirojeom,Mimyo’s Everyday Euljiro,"Jung District, Eulji-ro, 170, Seoul, South Korea",Good-value mid-range sushi omakase using Korean seafood—the Euljiro branch is the one.,37.5661055,126.9973166,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%EC%8B%9C%EC%86%8C%EB%9D%BC%20%EC%9D%84%EC%A7%80%EB%A1%9C%EC%A0%90%20Euljiro
Nokwonssambab Yeonhuijeom,Yeonhui-dong,"22 Yeonhui-ro 25-gil, Seodaemun-gu, Seoul, South Korea","Authentic Korean home-style meals like grandma's, in a homey setting.",37.5724562,126.9341766,
Dongilru,Lost in Mangwon-Dong,"75 Poeun-ro, Mangwon-dong, Mapo-gu, Seoul, South Korea","Korean-Chinese by a 40-year chef—Busan-style ganjjajang, only 10 bowls a day.",37.5538036,126.9056048,https://maps.google.com/?cid=11029759449995642347&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Onion Cafe,Gwangjang Market Essentials,"Jongno District, Cheonggyecheon-ro, 215, Seoul, South Korea","Industrial-chic cafe in an old jewelry workshop—excellent pastries, stunning space.",37.5697865,127.0015042,https://maps.google.com/?cid=16483001005606592790&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
tta,Yeonhui-dong,"28-5 Yeonhui-ro 11-gil, Seodaemun-gu, Seoul, South Korea",Lifestyle prop shop in a renovated house—curated props to furniture at fair prices.,37.5679621,126.929987,https://maps.google.com/?cid=13225273786933418163&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Point of View,Inspiration seongsu,"18 Yeonmujang-gil, Seongdong-gu, Seoul, South Korea",One of the best spots for Korean stationery and indie design brands.,37.5434188,127.051374,https://maps.google.com/?cid=8411587396190321932&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Sans,Yeonhui-dong,"708-3 Yeonhui-dong, Seodaemun-gu, Seoul, South Korea",Brunch cafe with plenty of vegan options—light food and floor-to-ceiling natural light.,37.5753948,126.9289241,https://maps.google.com/?cid=1772263547785475843&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
MIDOPA,Yeonhui-dong,"420-15 Yeonhui-dong, Seodaemun-gu, Seoul, South Korea",Rare Yeonhui cafe-bar—drop in for wine or whiskey with light sweet snacks.,37.5661297,126.9254945,https://maps.google.com/?cid=1888166125576151671&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Dulumi,Busan with friends,"33 Seojeon-ro 57beon-gil, Busanjin District, South Korea","Busan favorite for thick-cut, juicy pork belly—plus their signature grilled gimbap.",35.1592913,129.0659603,https://maps.google.com/?cid=2246745682807949139&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Piece Layer,Inspiration seongsu,"South Korea, Seoul, Seongdong-gu, Ttukseom-ro, 415",Curated design object store channeling Seoul's creative community taste.,37.538522,127.0567242,https://maps.google.com/?cid=15236065406558256953&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Ichizen,Lost in Mangwon-Dong,"Mapo-gu, Poeun-ro, 109, Seoul, South Korea",Favorite tendon spot—seasonal tempura fried right in front of you at the counter.,37.5566517,126.9045511,https://maps.google.com/?cid=13714044240427710442&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
LCDC Seoul,Inspiration seongsu,"10 Yeonmujang 17-gil, Seongsu-dong 2(i)-ga, Seongdong-gu, Seoul, South Korea","Creative complex blending brands, exhibitions, and retail—Seoul's creative scene in one stop.",37.5415795,127.0614594,https://maps.google.com/?cid=15597777237517384379&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Chapssal Kkwabaegi (Glutinous Rice Twist),Gwangjang Market Essentials,"Jongno District, Jongno 4(sa)-ga, 188, Seoul, South Korea","Chewy glutinous-rice twist donuts fried fresh—get the original or red bean, warm.",37.5707114,127.0003582,https://maps.google.com/?cid=13923868255222706406&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Tokyo Bingsu,Lost in Mangwon-Dong,"9 Poeun-ro 8-gil, Mapo-gu, Seoul, South Korea","Must-try bingsu—the fresh, light tomato bingsu is unlike any other.",37.5564784,126.9051972,https://maps.google.com/?cid=2213279829968979701&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Myeongdong Kyoja,Noodle Goodness,"29 Myeongdong 10-gil, Jung District, Seoul, South Korea","An institution for chicken noodle soup—beware the kimchi, fiercely spicy and garlicky.",37.5625266,126.985609,https://maps.app.goo.gl/ADhNQV9rStwoK6Fe6?g_st=ic
